Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,employment_employed,Labor_force,employment_unemployed,Employment Rate,Unemployment Rate,Median_male_age,Median_female_age,Walkable_time_min,Education_none,Male_population,Female_population,Students_population,Population_from_5_17,Population_18_over,Gini_index,City
90805,95808.0,30.2,45878.0,17574.0,22869.0,23.869614228456914,40649.0,47247.0,6539.0,86.03509217516456,13.840032171354794,29.6,30.7,6075.0,2822.0,47186.0,48622.0,90952.0,2230.0,6913.0,0.4333,Long Beach
90806,42312.0,33.2,47034.0,18661.0,10335.0,24.425694838343734,17820.0,19797.0,1977.0,90.01363843006516,9.98636156993484,31.9,35.0,2785.0,3271.0,20573.0,21739.0,40714.0,1116.0,3570.0,0.4408,Long Beach
90807,33217.0,39.4,72401.0,37422.0,2102.0,6.328085016708312,17745.0,18921.0,1146.0,93.78468368479467,6.056762327572539,39.1,40.0,2210.0,430.0,16029.0,17188.0,31788.0,13.0,742.0,0.434,Long Beach
90808,38637.0,42.9,97500.0,42914.0,1906.0,4.9330952196081475,19135.0,20199.0,1020.0,94.7324124956681,5.049754938363285,42.3,43.8,2190.0,330.0,18800.0,19837.0,37495.0,18.0,271.0,0.4014,Long Beach
90810,37422.0,33.0,51271.0,17595.0,7090.0,18.946074501630058,15814.0,17896.0,2076.0,88.36611533303531,11.600357621814931,30.6,34.3,4330.0,1139.0,18572.0,18850.0,36016.0,598.0,2414.0,0.4205,Long Beach
90813,60997.0,27.9,31775.0,12752.0,20928.0,34.3098840926603,24061.0,27431.0,3358.0,87.71462943385221,12.241624439502752,27.2,28.5,16445.0,3784.0,30170.0,30827.0,57086.0,2913.0,7936.0,0.4353,Long Beach
90814,18760.0,37.7,61093.0,40166.0,2773.0,14.781449893390192,10815.0,11593.0,778.0,93.28905373932545,6.710946260674545,37.2,38.0,1740.0,409.0,9141.0,9619.0,18396.0,0.0,224.0,0.4395,Long Beach
90815,39822.0,39.0,79809.0,36644.0,4565.0,11.463512631208879,18988.0,20413.0,1399.0,93.01915446039288,6.853475726252878,38.4,39.3,,316.0,19444.0,20378.0,38480.0,24.0,458.0,0.4244,Long Beach
90822,148.0,61.3,-666666666.0,22275.0,0.0,0.0,0.0,0.0,0.0,,,65.1,-666666666.0,-666666666.0,0.0,137.0,11.0,148.0,0.0,0.0,-666666666.0,Long Beach
90831,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,0.0,0.0,0.0,,,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,Long Beach
91101,20761.0,34.6,61473.0,41477.0,4489.0,21.62227253022494,11663.0,12565.0,902.0,92.82132908873857,7.178670911261441,34.3,34.8,12250.0,266.0,9401.0,11360.0,20202.0,170.0,2038.0,0.4844,Pasadena
91103,28124.0,36.3,62697.0,31680.0,5328.0,18.944673588394252,13230.0,14258.0,1028.0,92.79001262449151,7.2099873755084865,34.2,38.4,,568.0,14129.0,13995.0,27229.0,709.0,2143.0,0.5475,Pasadena
91104,38725.0,38.7,70208.0,34175.0,6392.0,16.50613298902518,18905.0,20672.0,1758.0,91.45220588235294,8.504256965944272,37.3,40.3,6255.0,688.0,18505.0,20220.0,37268.0,405.0,2723.0,0.4733,Pasadena
91105,11728.0,48.8,107284.0,76598.0,966.0,8.236698499317871,6190.0,6577.0,387.0,94.11585829405504,5.88414170594496,47.6,50.6,,71.0,5710.0,6018.0,11421.0,22.0,204.0,0.5094,Pasadena
91106,24875.0,34.7,75160.0,50033.0,3226.0,12.968844221105527,14219.0,15040.0,821.0,94.54122340425532,5.4587765957446805,34.4,34.9,18605.0,159.0,12493.0,12382.0,23977.0,83.0,1460.0,0.5297,Pasadena
91107,32027.0,42.7,84663.0,47753.0,3098.0,9.67308833172011,16289.0,17433.0,1144.0,93.43773303504847,6.562266964951529,40.8,44.6,3790.0,439.0,15858.0,16169.0,31074.0,209.0,1746.0,0.4912,Pasadena
91108,13675.0,46.8,141739.0,74523.0,1028.0,7.517367458866545,5430.0,5681.0,251.0,95.58176377398345,4.418236226016546,42.6,48.1,,139.0,6890.0,6785.0,13470.0,216.0,1192.0,0.5294,Pasadena
91201,23510.0,41.0,54603.0,29196.0,3406.0,14.487452148022118,11515.0,12934.0,1419.0,89.02891603525592,10.971083964744086,41.0,41.0,,919.0,11324.0,12186.0,22884.0,786.0,5620.0,0.4952,Glendale
91202,23219.0,43.1,62104.0,34181.0,3073.0,13.234850768766957,11195.0,12267.0,1064.0,91.26110703513491,8.6736773457243,41.7,44.5,3015.0,511.0,10510.0,12709.0,22597.0,502.0,3883.0,0.4748,Glendale
91203,14051.0,38.4,48849.0,25383.0,1972.0,14.03458828553128,6897.0,7654.0,757.0,90.10974653775804,9.890253462241965,35.2,42.4,4195.0,311.0,7091.0,6960.0,13685.0,288.0,2773.0,0.4685,Glendale
91204,17681.0,37.7,41586.0,20541.0,3861.0,21.83700016967366,8467.0,9486.0,1019.0,89.25785367910605,10.74214632089395,36.1,38.7,,485.0,8337.0,9344.0,16953.0,733.0,4232.0,0.4588,Glendale
91205,37664.0,39.6,38138.0,22434.0,8119.0,21.556393372982157,17045.0,19236.0,2169.0,88.6098981077147,11.27573300062383,37.4,41.6,,1517.0,18012.0,19652.0,36491.0,1442.0,9028.0,0.4773,Glendale
91206,34247.0,42.1,53911.0,32300.0,5160.0,15.067013169036704,16354.0,18074.0,1720.0,90.48356755560474,9.516432444395264,41.3,43.6,,725.0,16452.0,17795.0,32945.0,620.0,6575.0,0.489,Glendale
91207,10071.0,47.3,86190.0,51003.0,808.0,8.023036441267005,4965.0,5377.0,382.0,92.33773479635485,7.104333271340896,44.8,48.3,,36.0,4825.0,5246.0,9807.0,127.0,1025.0,0.5113,Glendale
91208,17180.0,41.8,111563.0,47720.0,1181.0,6.874272409778812,8543.0,8944.0,401.0,95.5165474060823,4.48345259391771,38.9,42.6,,58.0,8523.0,8657.0,16401.0,75.0,782.0,0.4195,Glendale
91210,886.0,31.4,160132.0,68496.0,197.0,22.23476297968397,337.0,337.0,0.0,100.0,0.0,22.4,33.8,,0.0,533.0,353.0,863.0,56.0,57.0,0.4598,Glendale
91214,30935.0,42.0,91255.0,38370.0,1536.0,4.96524971714886,14772.0,15643.0,850.0,94.43201431950393,5.433740331138528,42.1,41.9,2900.0,282.0,14485.0,16450.0,30180.0,391.0,1191.0,0.4076,Glendale
